Name,Total 3P Made,Total 3P Att,Total 3P%,Cold 3P Made,Cold 3P Att,Cold 3P%,Hot 3P Made,Hot 3P Att,Hot 3P%,Hot/Cold Diff,Hot Shot Makeup
mahmoud abdul-rauf,0.6666666666666666,2.3333333333333335,28.57142857142857,0.6666666666666666,2.3333333333333335,28.57142857142857,0,0,0,-28.57142857142857,-1
von wafer,17,52.333333333333336,32.48407643312102,16.166666666666668,50,32.333333333333336,0.8333333333333334,2.3333333333333335,35.714285714285715,3.3809523809523796,4.4585987261146505
arinze onuaku,0,0,0,0,0,0,0,0,0,0,0
anthony carter,8.923076923076923,35.69230769230769,25,8.307692307692308,34.23076923076923,24.269662921348313,0.6153846153846154,1.4615384615384615,42.10526315789474,17.835600236546426,4.094827586206897
richie frahm,23.75,66.75,35.580524344569284,20.5,57.75,35.4978354978355,3.25,9,36.11111111111111,0.6132756132756043,13.48314606741573
viktor khryapa,3.5,12,29.166666666666668,3.5,11.5,30.434782608695656,0,0.5,0,-30.434782608695656,4.166666666666666
tyrus thomas,1,4.25,23.52941176470588,1,4.25,23.52941176470588,0,0,0,-23.52941176470588,-1
keith jennings,0,0,0,0,0,0,0,0,0,0,0
tito maddox,0,3,0,0,3,0,0,0,0,0,-1
t.j. ford,15.875,54.875,28.929384965831435,15.625,53.375,29.274004683840747,0.25,1.5,16.666666666666664,-12.607338017174083,2.733485193621868
domantas sabonis,51,159,32.075471698113205,46,149,30.87248322147651,5,10,50,19.12751677852349,6.289308176100629
grant hill,10.944444444444445,32.77777777777778,33.389830508474574,10.5,31.944444444444443,32.869565217391305,0.4444444444444444,0.8333333333333334,53.333333333333336,20.46376811594203,2.5423728813559325
joe crispin,15,39,38.46153846153847,13,33,39.39393939393939,2,6,33.33333333333333,-6.060606060606062,15.384615384615385
michael ruffin,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,-1
shane battier,96.15384615384616,250.30769230769232,38.41425937307929,88.38461538461539,229.15384615384616,38.56998992950654,7.769230769230769,21.153846153846153,36.727272727272734,-1.842717202233807,8.451137062077443
rodney stuckey,27.6,92.1,29.967426710097723,26.5,87.8,30.18223234624146,1.1,4.3,25.581395348837212,-4.600836997404247,4.668838219326819
bruno sundov,0.7142857142857143,3.4285714285714284,20.833333333333336,0.7142857142857143,3.2857142857142856,21.73913043478261,0,0.14285714285714285,0,-21.73913043478261,4.166666666666666
trevor winter,0,0,0,0,0,0,0,0,0,0,0
jeremy tyler,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,-1
mikki moore,0.15384615384615385,1,15.384615384615385,0.15384615384615385,1,15.384615384615385,0,0,0,-15.384615384615385,-1
jodie meeks,86.875,231.25,37.567567567567565,76.875,205.875,37.340619307832426,10,25.375,39.40886699507389,2.068247687241467,10.972972972972974
ramon sessions,20,63.2,31.645569620253163,19.5,61.5,31.70731707317073,0.5,1.7,29.411764705882355,-2.2955523672883764,2.6898734177215187
darius morris,11.75,36.5,32.19178082191781,11.25,34.75,32.37410071942446,0.5,1.75,28.57142857142857,-3.8026721479958923,4.794520547945205
kevin murphy,1,5,20,1,5,20,0,0,0,-20,-1
bracey wright,6,18.5,32.432432432432435,5.5,17,32.35294117647059,0.5,1.5,33.33333333333333,0.9803921568627416,8.108108108108109
sarunas jasikevicius,65,183,35.51912568306011,60.5,168,36.01190476190476,4.5,15,30,-6.011904761904759,8.19672131147541
baron davis,102.46153846153847,319.9230769230769,32.02692955037269,94.84615384615384,292.53846153846155,32.421772285038124,7.615384615384615,27.384615384615383,27.808988764044944,-4.61278352099318,8.559749939889397
brandon roy,53.666666666666664,154.16666666666666,34.81081081081081,49.666666666666664,145.5,34.13516609392898,4,8.666666666666666,46.15384615384615,12.018680059917173,5.621621621621622
trey thompkins,4,13,30.76923076923077,4,13,30.76923076923077,0,0,0,-30.76923076923077,-1
james young,11.666666666666666,42.333333333333336,27.55905511811023,11.666666666666666,39.333333333333336,29.66101694915254,0,3,0,-29.66101694915254,7.086614173228346
michael cage,0,0,0,0,0,0,0,0,0,0,0
shabazz napier,37,104.66666666666667,35.35031847133758,33,97.33333333333333,33.9041095890411,4,7.333333333333333,54.545454545454554,20.641344956413455,7.006369426751593
