Name,Total 3P Made,Total 3P Att,Total 3P%,Cold 3P Made,Cold 3P Att,Cold 3P%,Hot 3P Made,Hot 3P Att,Hot 3P%,Hot/Cold Diff,Hot Shot Makeup
mike conley,171,419,40.81145584725537,155,374,41.44385026737968,16,45,35.55555555555556,-5.888294711824123,10.739856801909307
myles turner,40,116,34.48275862068966,37,109,33.94495412844037,3,7,42.857142857142854,8.912188728702482,6.0344827586206895
vin baker,0,0,0,0,0,0,0,0,0,0,0
willy hernangomez,4,15,26.666666666666668,4,15,26.666666666666668,0,0,0,-26.666666666666668,0
draymond green,81,263,30.798479087452474,73,243,30.04115226337449,8,20,40,9.958847736625511,7.604562737642586
nemanja bjelica,56,177,31.63841807909605,51,167,30.538922155688624,5,10,50,19.461077844311376,5.649717514124294
sam dekker,60,187,32.0855614973262,56,174,32.18390804597701,4,13,30.76923076923077,-1.414677276746243,6.951871657754011
thabo sefolosha,41,120,34.166666666666664,39,116,33.62068965517241,2,4,50,16.379310344827587,3.3333333333333335
thaddeus young,45,118,38.13559322033898,43,109,39.44954128440367,2,9,22.22222222222222,-17.22731906218145,7.627118644067797
wade baldwin iv,3,22,13.636363636363635,3,22,13.636363636363635,0,0,0,-13.636363636363635,0
chris paul,124,302,41.05960264900662,114,269,42.37918215613383,10,33,30.303030303030305,-12.076151853103525,10.927152317880795
dwight howard,0,2,0,0,2,0,0,0,0,0,0
jared dudley,77,203,37.93103448275862,71,189,37.56613756613756,6,14,42.857142857142854,5.291005291005291,6.896551724137931
sam mitchell,0,0,0,0,0,0,0,0,0,0,0
tiago splitter,2,6,33.33333333333333,2,6,33.33333333333333,0,0,0,-33.33333333333333,0
dan schayes,0,0,0,0,0,0,0,0,0,0,0
dwyane wade,45,145,31.03448275862069,41,133,30.82706766917293,4,12,33.33333333333333,2.5062656641603986,8.275862068965518
eric bledsoe,104,310,33.5483870967742,98,286,34.26573426573427,6,24,25,-9.265734265734267,7.741935483870968
hot rod williams,0,0,0,0,0,0,0,0,0,0,0
briante weber,1,10,10,1,10,10,0,0,0,-10,0
jj redick,201,468,42.94871794871795,165,391,42.19948849104859,36,77,46.75324675324675,4.5537582621981585,16.45299145299145
james edwards,0,0,0,0,0,0,0,0,0,0,0
karl malone,0,0,0,0,0,0,0,0,0,0,0
muggsy bogues,0,0,0,0,0,0,0,0,0,0,0
anthony bennett,13,48,27.083333333333332,12,45,26.666666666666668,1,3,33.33333333333333,6.666666666666661,6.25
dante cunningham,71,181,39.226519337016576,67,170,39.411764705882355,4,11,36.36363636363637,-3.048128342245988,6.077348066298343
joe kleine,0,0,0,0,0,0,0,0,0,0,0
manu ginobili,89,227,39.20704845814978,80,198,40.4040404040404,9,29,31.03448275862069,-9.369557645419711,12.77533039647577
marcus smart,94,332,28.313253012048197,82,294,27.89115646258503,12,38,31.57894736842105,3.687790905836021,11.44578313253012
chris mills,0,0,0,0,0,0,0,0,0,0,0
cody zeller,0,1,0,0,1,0,0,0,0,0,0
dennis scott,0,0,0,0,0,0,0,0,0,0,0
isaiah canaan,25,94,26.595744680851062,23,86,26.744186046511626,2,8,25,-1.7441860465116257,8.51063829787234
jeff malone,0,0,0,0,0,0,0,0,0,0,0
jerian grant,49,134,36.56716417910448,48,128,37.5,1,6,16.666666666666664,-20.833333333333336,4.477611940298507
pete chilcutt,0,0,0,0,0,0,0,0,0,0,0
